hazard,epoch,rcp,gcm,return_period,path
coastal,2010,historical,na,2,aqueduct_flood/inuncoast_historical_wtsub_hist_rp0002_0__KEN.tif
coastal,2010,historical,na,5,aqueduct_flood/inuncoast_historical_wtsub_hist_rp0005_0__KEN.tif
coastal,2010,historical,na,10,aqueduct_flood/inuncoast_historical_wtsub_hist_rp0010_0__KEN.tif
coastal,2010,historical,na,25,aqueduct_flood/inuncoast_historical_wtsub_hist_rp0025_0__KEN.tif
coastal,2010,historical,na,50,aqueduct_flood/inuncoast_historical_wtsub_hist_rp0050_0__KEN.tif
coastal,2010,historical,na,100,aqueduct_flood/inuncoast_historical_wtsub_hist_rp0100_0__KEN.tif
coastal,2010,historical,na,250,aqueduct_flood/inuncoast_historical_wtsub_hist_rp0250_0__KEN.tif
coastal,2010,historical,na,500,aqueduct_flood/inuncoast_historical_wtsub_hist_rp0500_0__KEN.tif
coastal,2010,historical,na,1000,aqueduct_flood/inuncoast_historical_wtsub_hist_rp1000_0__KEN.tif
coastal,2030,4.5,na,2,aqueduct_flood/inuncoast_rcp4p5_wtsub_2030_rp0002_0__KEN.tif
coastal,2030,4.5,na,5,aqueduct_flood/inuncoast_rcp4p5_wtsub_2030_rp0005_0__KEN.tif
coastal,2030,4.5,na,10,aqueduct_flood/inuncoast_rcp4p5_wtsub_2030_rp0010_0__KEN.tif
coastal,2030,4.5,na,25,aqueduct_flood/inuncoast_rcp4p5_wtsub_2030_rp0025_0__KEN.tif
coastal,2030,4.5,na,50,aqueduct_flood/inuncoast_rcp4p5_wtsub_2030_rp0050_0__KEN.tif
coastal,2030,4.5,na,100,aqueduct_flood/inuncoast_rcp4p5_wtsub_2030_rp0100_0__KEN.tif
coastal,2030,4.5,na,250,aqueduct_flood/inuncoast_rcp4p5_wtsub_2030_rp0250_0__KEN.tif
coastal,2030,4.5,na,500,aqueduct_flood/inuncoast_rcp4p5_wtsub_2030_rp0500_0__KEN.tif
coastal,2030,4.5,na,1000,aqueduct_flood/inuncoast_rcp4p5_wtsub_2030_rp1000_0__KEN.tif
coastal,2030,8.5,na,2,aqueduct_flood/inuncoast_rcp8p5_wtsub_2030_rp0002_0__KEN.tif
coastal,2030,8.5,na,5,aqueduct_flood/inuncoast_rcp8p5_wtsub_2030_rp0005_0__KEN.tif
coastal,2030,8.5,na,10,aqueduct_flood/inuncoast_rcp8p5_wtsub_2030_rp0010_0__KEN.tif
coastal,2030,8.5,na,25,aqueduct_flood/inuncoast_rcp8p5_wtsub_2030_rp0025_0__KEN.tif
coastal,2030,8.5,na,50,aqueduct_flood/inuncoast_rcp8p5_wtsub_2030_rp0050_0__KEN.tif
