hazard,epoch,rcp,gcm,model,path
drought,2010,historical,gfdl-esm2m,clm45,data/KEN/isimip_heat_drought/lange2020_clm45_gfdl-esm2m_ewembi_historical_2005soc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,gfdl-esm2m,h08,data/KEN/isimip_heat_drought/lange2020_h08_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,gfdl-esm2m,jules-w1,data/KEN/isimip_heat_drought/lange2020_jules-w1_gfdl-esm2m_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,gfdl-esm2m,lpjml,data/KEN/isimip_heat_drought/lange2020_lpjml_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,gfdl-esm2m,mpi-hm,data/KEN/isimip_heat_drought/lange2020_mpi-hm_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,gfdl-esm2m,orchidee,data/KEN/isimip_heat_drought/lange2020_orchidee_gfdl-esm2m_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,gfdl-esm2m,pcr-globwb,data/KEN/isimip_heat_drought/lange2020_pcr-globwb_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,gfdl-esm2m,watergap2,data/KEN/isimip_heat_drought/lange2020_watergap2_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,hadgem2-es,clm45,data/KEN/isimip_heat_drought/lange2020_clm45_hadgem2-es_ewembi_historical_2005soc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,hadgem2-es,h08,data/KEN/isimip_heat_drought/lange2020_h08_hadgem2-es_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,hadgem2-es,jules-w1,data/KEN/isimip_heat_drought/lange2020_jules-w1_hadgem2-es_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,hadgem2-es,lpjml,data/KEN/isimip_heat_drought/lange2020_lpjml_hadgem2-es_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
drought,2010,historical,hadgem2-es,orchidee,data/KEN/isimip_heat_drought/lange2020_orchidee_hadgem2-es_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence__KEN.tif
