hazard,epoch,rcp,gcm,path
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_10000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_1000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_100_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_10_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_2000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_200_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_20_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_3000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_300_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_30_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_4000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_400_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_40_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_5000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_500_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_50_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_6000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_600_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_60_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_7000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_700_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_70_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_8000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_800_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_80_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_9000_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_900_YR_RP__KEN.tif
cyclone,2010,historical,constant,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_constant_90_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_10000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_1000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_100_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_10_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_2000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_200_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_20_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_3000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_300_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_30_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_4000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_400_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_40_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_5000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_500_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_50_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_6000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_600_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_60_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_7000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_700_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_70_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_8000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_800_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_80_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_9000_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_900_YR_RP__KEN.tif
cyclone,2050,8.5,CMCC-CM2-VHR4,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CMCC-CM2-VHR4_90_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_10000_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_1000_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_100_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_10_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_2000_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_200_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_20_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_3000_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_300_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_30_YR_RP__KEN.tif
cyclone,2050,8.5,CNRM-CM6-1-HR,data/KEN/storm/STORM_FIXED_RETURN_PERIODS_CNRM-CM6-1-HR_4000_YR_RP__KEN.tif
