economic_activity,private,public,non_profit,total
"Agriculture, Forestry and Fishing",19379,1,0,19380
Mining and quarrying,110,47,0,157
Manufacturing Industries,13050,4,0,13054
"Electricity, gas, steam and air conditioning",93,0,0,93
"Water, sewerage, waste treatment",223,2,1,226
Construction,5815,6,0,5821
"Wholesale and retail trade, and vehicle repair",54240,2,10,54252
Transport and stockpiling,2484,11,2,2497
Accommodation and food services,11259,0,0,11259
Information and Communication,604,1,2,607
Finance and insurance,742,4,0,746
Property activities,3975,0,0,3975
"Professional, scientific and technical activities",1478,5,1,1484
Administrative and support services,2793,24,2,2819
Education,780,3,80,863
Health and social work,351,2,147,500
Arts and entertainment,238,0,5,243
Other activities and services,9191,0,178,9369
