economic_activity,revenue_thousand_sar,expenditure_thousand_sar,operating_surplus_thousand_sar
"Agriculture, Forestry and Fishing",14733195,6261574,8471621
Mining and quarrying,1017319395,96204918,921114477
Manufacturing Industries,128691369,56549554,72141815
"Electricity, gas, steam and air conditioning",10929258,4739467,6189791
"Water, sewerage, waste treatment",1233766,528412,705354
Construction,39079640,16077080,23002560
"Wholesale and retail trade, and vehicle repair",89971839,64047236,25924603
Transport and stockpiling,19526832,10240239,9286593
Accommodation and food services,7505716,3707955,3797761
Information and Communication,10668723,4608696,6060027
Finance and insurance,15867452,4416619,11450833
Property activities,3736722,1520708,2216014
"Professional, scientific and technical activities",5482740,3091012,2391728
Administrative and support services,11017243,5806425,5210818
Education,1748293,770258,978035
Health and social work,5643907,2018756,3625151
Arts and entertainment,967165,343312,623853
Other activities and services,2162916,1144730,1018186
