governorate_id,gender,sector,education_level,schools,classes,students,teachers,avg_class_size,avg_students_per_teacher
1,Boys,Government,Primary,79,1279,32371,2160,25.3,15.0
1,Boys,Government,Intermediate,50,556,15567,1304,28.0,11.9
1,Boys,Government,Secondary,32,349,12941,1077,37.1,12.0
2,Boys,Government,Primary,187,2216,50621,4230,22.8,12.0
2,Boys,Government,Intermediate,106,950,24302,2262,25.6,10.7
2,Boys,Government,Secondary,85,788,21349,2083,27.1,10.2
3,Boys,Government,Primary,96,1042,22024,1902,21.1,11.6
3,Boys,Government,Intermediate,58,394,10142,990,25.7,10.2
3,Boys,Government,Secondary,40,233,6565,815,28.2,8.1
4,Boys,Government,Primary,20,386,10206,718,26.4,14.2
4,Boys,Government,Intermediate,9,139,3753,268,27.0,14.0
4,Boys,Government,Secondary,7,106,3233,236,30.5,13.7
5,Boys,Government,Primary,67,924,21283,1606,23.0,13.3
5,Boys,Government,Intermediate,42,398,10131,1059,25.5,9.6
5,Boys,Government,Secondary,36,317,9547,1027,30.1,9.3
6,Boys,Government,Primary,34,464,11288,750,24.3,15.1
6,Boys,Government,Intermediate,20,198,5696,455,28.8,12.5
6,Boys,Government,Secondary,15,144,4728,406,32.8,11.6
7,Boys,Government,Primary,16,164,3541,268,21.6,13.2
7,Boys,Government,Intermediate,12,82,1937,189,23.6,10.2
7,Boys,Government,Secondary,7,53,1082,132,20.4,8.2
8,Boys,Government,Primary,6,82,2012,140,24.5,14.4
8,Boys,Government,Intermediate,4,38,1038,90,27.3,11.5
8,Boys,Government,Secondary,3,19,800,77,42.1,10.4
9,Boys,Government,Primary,14,136,2632,225,19.4,11.7
9,Boys,Government,Intermediate,9,58,1180,135,20.3,8.7
9,Boys,Government,Secondary,5,41,986,135,24.0,7.3
10,Boys,Government,Primary,23,194,2551,248,13.1,10.3
10,Boys,Government,Intermediate,14,69,1266,144,18.3,8.8
10,Boys,Government,Secondary,7,50,1560,141,31.2,11.1
11,Boys,Government,Primary,19,123,1237,154,10.1,8.0
