governorate_id,population,govt_centers,govt_physicians,private_dispensaries,private_physicians,red_crescent_centers,total_physicians,physicians_per_10000
1,1024409,32,232,86,797,8,1029,10.0
2,1041863,68,261,65,659,11,920,8.8
3,390282,39,150,30,203,8,353,9.0
4,378946,5,38,16,257,2,295,7.8
5,524182,34,129,30,236,4,365,7.0
6,457748,10,68,51,437,2,505,11.0
7,76279,4,11,11,85,2,96,12.6
8,60750,2,9,3,47,1,56,9.2
9,53444,12,24,6,59,2,83,15.5
10,52340,16,48,4,23,2,71,13.6
11,24345,15,33,0,0,1,33,13.6
12,21192,4,14,0,0,2,14,6.6
