governorate_id,population,govt_hospitals,govt_beds,govt_physicians,private_hospitals,private_beds,private_physicians,total_beds,beds_per_1000,total_physicians,physicians_per_1000
1,1024409,9,2685,2324,6,1069,979,3754,3.7,3303,3.2
2,1041863,11,1865,1330,5,558,396,2423,2.3,1726,1.7
3,390282,8,1330,618,1,50,50,1380,3.5,668,1.7
4,378946,3,580,426,2,180,193,760,2.0,619,1.6
5,524182,3,435,355,3,180,178,615,1.2,533,1.0
6,457748,2,614,554,7,1288,880,1902,4.2,1434,3.1
7,76279,1,100,63,2,130,73,230,3.0,136,1.8
8,60750,1,50,25,0,0,0,50,0.8,25,0.4
9,53444,1,50,45,0,0,0,50,0.9,45,0.8
10,52340,2,110,57,0,0,0,110,2.1,57,1.1
11,24345,2,100,59,0,0,0,100,4.1,59,2.4
12,21192,1,50,23,0,0,0,50,2.4,23,1.1
