governorate_id,num_houses,saudi_male,saudi_female,saudi_total,non_saudi_male,non_saudi_female,non_saudi_total,total_male,total_female,total_population
1,167157,339104,298291,637395,276896,110118,387014,616000,408409,1024409
2,149905,432359,424311,856670,143803,41390,185193,576162,465701,1041863
3,56512,165468,158996,324464,48539,17279,65818,214007,176275,390282
4,48675,100885,80435,181320,173241,24385,197626,274126,104820,378946
5,77637,230101,225710,455811,55382,12989,68371,285483,238699,524182
6,78747,125227,107379,232606,156113,69029,225142,281340,176408,457748
7,10437,28923,27177,56100,16122,4057,20179,45045,31234,76279
8,7727,18707,16612,35319,21820,3611,25431,40527,20223,60750
9,7844,20396,18698,39094,11577,2773,14350,31973,21471,53444
10,7326,20507,20716,41223,8773,2344,11117,29280,23060,52340
11,3707,8792,8605,17397,5652,1296,6948,14444,9901,24345
12,2954,8429,5287,13716,6853,623,7476,15282,5910,21192
