governorate_id,real_estate_dev_fund_branch,real_estate_dev_fund_office,industrial_dev_fund_branch,industrial_dev_fund_office,scsb_bank_branch,scsb_bank_office,ministry_of_transport_branch,ministry_of_transport_office,ministry_of_water_branch,ministry_of_water_office,ministry_of_finance_branch,ministry_of_finance_office,ministry_of_planning_branch,ministry_of_planning_office,ministry_of_justice_branch,ministry_of_justice_office,retirement_branch,retirement_office,insurance_branch,insurance_office
1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
3,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
